term,synonym,id,remark
indument,"indumentum",1246,NULL
indurate,"indurated",1248,NULL
indusia,"indusium",1249,NULL
inner,"innermost",1263,NULL
keeled,"keel-shaped",1314,NULL
knobbed,"knobby",1321,NULL
knobbed,"knoblike",1321,NULL
knobbed,"knob-shaped",1321,NULL
knot-shaped,"knotted",1322,NULL
knot-shaped,"knotty",1322,NULL
labella,"labellum",1323,NULL
labia,"labium",1324,NULL
lacrimate,"lacrimiform",1329,NULL
lacuna,"lacunae",1330,NULL
laesura,"laesurae",1333,NULL
lamella,"lamellae",1336,NULL
lamella,"laminae",1336,NULL
lamella,"lamina",1336,NULL
lancehead-shaped,"lanceolate",1341,NULL
lancehead-shaped,"lanceoloid",1341,NULL
lancehead-shaped,"lanciform",1341,NULL
lanose,"lanuginose",1342,NULL
lanose,"lanulose",1342,NULL
large,"larger",1343,NULL
large,"largest",1343,NULL
latex,"latexes",1348,NULL
latex,"latices",1348,NULL
leaflike,"leaf-like",1364,NULL
leaflike,"leafy",1364,NULL
leaflike,"leaved",1364,NULL
lemma,"lemmas",1371,NULL
lemma,"lemmata",1371,NULL
lens-shaped,"lenticular",1375,NULL
lentiginose,"lentiginous",1377,NULL
light,"lighter",1388,NULL
ligulate,"liguliferous",1390,NULL
ligulate,"liguliflorous",1390,NULL
lineate,"lineolate",1396,NULL
lineate,"lineolate",1397,NULL
lineate,"lineolate",1398,NULL
lobate,"lobed",1404,NULL
lobate,"lobing",1404,NULL
lobate,"lobulate",1404,NULL
locular,"loculed",1408,NULL
long,"longer",1413,NULL
long,"longest",1413,NULL
low,"lower",1419,NULL
lumen,"lumina",1420,NULL
lyrate,"lyre-shaped",1424,NULL
macrosporangia,"macrosporangium",1427,NULL
macrostrobili,"macrostrobilus",1431,NULL
macula,"maculae",1432,NULL
mamilla,"mamillae",1441,NULL
mamma,"mammae",1443,NULL
mammiform,"mammillate",1444,NULL
mammiform,"mammose",1444,NULL
massula,"massulae",1453,NULL
matlike,"matted",1454,NULL
mature,"maturing",1456,NULL
mature,"maturity",1456,NULL
medial,"median",1459,NULL
megasporangia,"megasporangium",1464,NULL
megastrobili,"megastrobilus",1468,NULL
menta,"mentum",1472,NULL
microsporangia,"microsporangium",1482,NULL
mid,"middle",1487,NULL
mitre-shaped,"mitriform",1495,NULL
monochasia,"monochasium",1503,NULL
monochasiate,"monochasiform",1504,NULL
monochasiate,"monochasium-like",1504,NULL
moundlike,"mound-shaped",1516,NULL
mucro,"mucrones",1520,NULL
muricate,"muriculate",1532,NULL
narrow,"narrower",1539,NULL
narrow,"narrowing",1539,NULL
needlelike,"needle-shaped",1550,NULL
nerved,"nerviform",1553,NULL
net-like,"netted",1554,NULL
new,"newer",1560,NULL
nodiform,"nodose",1568,NULL
nodiform,"nodulose",1568,NULL
nucelli,"nucellus",1582,NULL
obconic,"obconical",1592,NULL
obcordate,"obcordiform",1593,NULL
obdeltate,"obdeltoid",1595,NULL
oblanceolate,"oblanceloate",1598,NULL
oblanceolate,"oblanceoloid",1598,NULL
oblanceolate,"oblanciform",1598,NULL
obovate,"obovoid",1603,NULL
obscure,"obscured",1606,NULL
obtrullate,"obtrulliform",1610,NULL
obtrullate,"obtrulloid",1610,NULL
ocrea,"ochrea",1618,NULL
ocrea,"ocreae",1618,NULL
old,"older",1624,NULL
old,"oldest",1624,NULL
olivaceous,"olive",1626,NULL
opercula,"operculum",1636,NULL
orange,"orangish",1639,NULL
orbicular,"orbiculate",1640,NULL
outer,"outermost",1647,NULL
oval,"ovate",1648,NULL
oval,"ovoid",1648,NULL
palea,"paleae",1669,NULL
palea,"paleas",1669,NULL
pale,"paler",1666,NULL
pale,"palest",1666,NULL
pale,"pallid",1666,NULL
pandurate,"panduriform",1681,NULL
panicle-like,"paniculate",1683,NULL
panicle-like,"paniculiform",1683,NULL
panniform,"pannose",1684,NULL
papilla,"papillae",1688,NULL
papillar,"papillary",1689,NULL
papillar,"papilliform",1689,NULL
papillate,"papillose",1690,NULL
paraphyses,"paraphysis",1699,NULL
parted,"partite",1704,NULL
pedicellate,"pedicillate",1716,NULL
pendent,"pendulous",1726,NULL
perennate,"perennating",1730,NULL
perigynia,"perigynium",1743,NULL
petaled,"petal-like",1754,NULL
petaled,"petaloid",1754,NULL
petaled,"petalous",1754,NULL
petiolate,"petioled",1756,NULL
petiole,"petiolule",1757,NULL
phyllode,"phyllodia",1762,NULL
phyllode,"phyllodium",1762,NULL
phyllopodia,"phyllopodium",1763,NULL
pigment,"pigmentation",1764,NULL
pigment,"pigmented",1764,NULL
pilose,"pilosulose",1766,NULL
pilose,"pilosulous",1766,NULL
pink,"pinkish",1770,NULL
pinna,"pinnae",1772,NULL
pinnatifid,"pinnatisect",1775,NULL
pistillate,"pistilled",1778,NULL
pistillode,"pistillodia",1779,NULL
pistillode,"pistillodium",1779,NULL
pitcher_blade,"pitcher-blade",1782,NULL
placenta,"placentae",1789,NULL
placenta,"placentas",1789,NULL
placenta-shaped,"placentiform",1790,NULL
planate,"plane",1795,NULL
pliable,"pliant",1808,NULL
pliable,"pliant",1809,NULL
pollinaria,"pollinarium",1825,NULL
pollinia,"pollinium",1826,NULL
prophyll,"prophylla",1877,NULL
prophyll,"prophylls",1877,NULL
prophyll,"prophyllum",1877,NULL
prothalli,"prothallus",1884,NULL
proximal,"proximalmost",1887,NULL
pseudolamina,"pseudolaminae",1891,NULL
puberulent,"puberulous",1901,NULL
puberulent,"pubsecent",1901,NULL
pulvini,"pulvinus",1910,NULL
punctate,"puncticulate",1913,NULL
purple,"purplish",1918,NULL
pyxis,"pyxides",1927,NULL
raceme-like,"racemiform",1930,NULL
raceme-like,"racemose",1930,NULL
rachilla,"rachis",1931,NULL
radial,"radiant",1932,NULL
radial,"radiate",1932,NULL
radial,"radiating",1932,NULL
radiant,"radiate",1933,NULL
radicant,"radicate",1935,NULL
radicle,"radices",1936,NULL
radicle,"radix",1936,NULL
ramified,"ramiform",1940,NULL
ramified,"ramose",1940,NULL
ramified,"ramous",1940,NULL
raphides,"raphe",1945,NULL
raphides,"raphis",1945,NULL
recurved,"recurving",1957,NULL
red,"reddish",1958,NULL
rhachilla,"rhachis",1989,NULL
rhipidia,"rhipidium",1990,NULL
rhizomatous,"rhizomelike",1993,NULL
rhombate,"rhombic",1996,NULL
rhombate,"rhomboid",1996,NULL
ribbed,"riblike",2000,NULL
ribbed,"riblike",2001,NULL
ridged,"ridgelike",2005,NULL
rimmed,"ringed",2010,NULL
ripe,"ripening",2015,NULL
rooted,"rooting",2018,NULL
rostella,"rostellum",2028,NULL
rostra,"rostrum",2030,NULL
rose,"rosy",2023,NULL
rough,"roughened",2033,NULL
round,"rotund",2036,NULL
round,"rounded",2036,NULL
round,"roundish",2036,NULL
round,"rotate",2036,NULL
rudimental,"rudimentary",2039,NULL
rugose,"rugulate",2041,NULL
rugose,"rugulose",2041,NULL
rust,"rusty",2047,NULL
