term,synonym,id,remark
milky,"milkywhite",1274,
multidentate,"multidenticulate",1294,
narrow,"narrowest",1305,
narrowed,"narrower",1307,
narrowed,"narrowing",1307,
narrowed,"narrows",1307,
nearby,"nearer",1310,
nearby,"nearest",1310,
needle_like,"needle_shaped",1314,
nigro_piceous,"nigropiceous",1323,
node,"nodes",1332,
nodiform,"nodose",1333,
nodiform,"nodular",1333,
none,"not",1334,
nostril,"nostrils",1336,
notauli,"notaulices",1338,
notauli,"notaulus",1338,
numeral,"numerous",1344,
oblong_ovate,"oblongovate",1352,
oblong_quadrate,"oblongquadrate",1353,
obtuse_angled,"obtuse",1360,
obtuse_angled,"obtuse_angulate",1360,
ocelli,"ocellus",1367,
ochra,"ochraceous",1370,
ochra,"ochre",1370,
old,"older",1374,
olivaceous,"olive",1375,
olive_brown,"olivebrown",1376,
one_eighth,"oneeighth",1380,
one_half,"onehalf",1383,
opaque,"opake",1388,
opaque_black,"opake_black",1389,
orange,"orangish",1399,
orange_brown,"orangebrown",1401,
orbicular,"orbiculate",1404,
orbit,"orbits",1405,
outer,"outermost",1415,
outer,"outers",1415,
outer,"outlier",1415,
outer,"outmost",1415,
outer,"outside",1415,
oval,"ovate",1417,
oval,"ovoid",1417,
overarched,"overarching",1419,
overhang,"overhangs",1420,
overhang,"overhung",1420,
overlap,"overlapping",1425,
overlay,"overlaying",1426,
overlay,"overlying",1426,
pair,"pairs",1433,
pale,"paler",1436,
pale,"palest",1436,
pale,"pallid",1436,
pale_yellow,"pale_yellowish",1437,
palp,"palpi",1438,
palp,"palpus",1438,
parallel,"parallel_sided",1445,
part,"parts",1457,
patch,"patches",1459,
pattern,"patterning",1461,
pattern,"patterns",1461,
peak,"peaked",1463,
pedunculate,"pedunculated",1476,
pigment,"pigmentation",1500,
pigment,"pigmented",1500,
pit,"pits",1508,
plain,"planar",1511,
pointing,"points",1523,
pointing,"pointed",1523,
portion,"portions",1533,
posteriolateral,"posterior_laterad",1541,
posteriolateral,"postero_lateral",1541,
posteriolateral,"posterolaterad",1541,
posteriolateral,"posterolateral",1541,
posterior,"posteriad",1542,
posterior,"posteri",1542,
posterior,"posteriorad",1542,
posterior,"posteriormost",1542,
posterior,"postrior",1542,
postero_dorsal,"posteriodorsal",1543,
postero_dorsal,"posterodorsal",1543,
posteromedial,"posteromedian",1549,
pre_anal,"preanal",1562,
preceded,"preceding",1573,
preceded,"preceeding",1573,
premaxilla,"premaxillae",1576,
presence,"present",1582,
presence,"presenting",1582,
process,"processes",1596,
procoxa,"procoxae",1597,
progress,"progressive",1603,
project,"projection",1604,
project,"projections",1604,
prominence,"prominent",1614,
pubecence,"pubescent",1641,
pubecence,"pubesence",1641,
punctate,"punctated",1643,
punctate,"punctuate",1643,
punctate,"punctulate",1643,
punctate_rugulose,"punctatorugose",1645,
punctate_rugulose,"punctuate_rugulose",1645,
punctate_striate,"punctatestriolate",1646,
punctate_striate,"puncto_striate",1646,
punctuation,"punctulation",1650,
punctures,"punctured",1652,
punctures,"puncturation",1652,
purple,"purplish",1656,
quadrate,"quadrata",1658,
radial,"radially_arranged",1665,
radial,"radiate",1665,
radial,"radiating",1665,
ray,"rays",1674,
rear,"rearward",1676,
red,"reddish",1687,
red_brown,"redbrown",1689,
red_brown,"reddish_brown",1689,
red_brown,"reddishbrown",1689,
reddish_yellow,"reddishyellow",1691,
reflect,"reflective",1695,
region,"regions",1697,
representative,"represented",1708,
resembles,"resembling",1710,
reticular,"reticulate",1713,
reticular,"reticulated",1713,
reticular,"reticulose",1713,
reticulate_puncate,"reticulate_punctulation",1716,
